date_time,power
2019-03-04 16:00:00,0.0
2019-03-04 16:15:00,0.0
2019-03-04 16:30:00,0.0
2019-03-04 16:45:00,0.0
2019-03-04 17:00:00,0.0
2019-03-04 17:15:00,0.0
2019-03-04 17:30:00,0.0
2019-03-04 17:45:00,0.0
2019-03-04 18:00:00,0.0
2019-03-04 18:15:00,0.0
2019-03-04 18:30:00,0.0
2019-03-04 18:45:00,0.0
2019-03-04 19:00:00,0.0
2019-03-04 19:15:00,0.0
2019-03-04 19:30:00,0.0
2019-03-04 19:45:00,0.0
2019-03-04 20:00:00,0.0
2019-03-04 20:15:00,0.065459
2019-03-04 20:30:00,0.046425
2019-03-04 20:45:00,0.035288
2019-03-04 21:00:00,0.031702999999999995
2019-03-04 21:15:00,0.06591
2019-03-04 21:30:00,0.034145999999999996
2019-03-04 21:45:00,0.071511
2019-03-04 22:00:00,0.060377
2019-03-04 22:15:00,0.039773
2019-03-04 22:30:00,0.043532
2019-03-04 22:45:00,0.038439999999999995
2019-03-04 23:00:00,0.0
2019-03-04 23:15:00,0.0
2019-03-04 23:30:00,0.0
2019-03-04 23:45:00,0.0
2019-03-05 00:00:00,0.0
2019-03-05 00:15:00,0.0
2019-03-05 00:30:00,0.0
2019-03-05 00:45:00,0.0
2019-03-05 01:00:00,0.0
2019-03-05 01:15:00,12.922
2019-03-05 01:30:00,15.379439999999999
2019-03-05 01:45:00,16.26844
2019-03-05 02:00:00,16.22731
2019-03-05 02:15:00,18.114691
2019-03-05 02:30:00,19.596939000000003
2019-03-05 02:45:00,22.87425
2019-03-05 03:00:00,25.492689000000002
2019-03-05 03:15:00,25.856251
2019-03-05 03:30:00,26.221559999999997
2019-03-05 03:45:00,27.27944
2019-03-05 04:00:00,26.950439000000003
2019-03-05 04:15:00,27.84775
2019-03-05 04:30:00,26.89925
2019-03-05 04:45:00,26.619249
2019-03-05 05:00:00,27.192381
2019-03-05 05:15:00,26.62888
2019-03-05 05:30:00,25.79019
2019-03-05 05:45:00,24.568251
2019-03-05 06:00:00,25.06831
2019-03-05 06:15:00,23.507310999999998
2019-03-05 06:30:00,21.41913
2019-03-05 06:45:00,21.540751
2019-03-05 07:00:00,19.19356
2019-03-05 07:15:00,18.60644
2019-03-05 07:30:00,16.531810999999998
2019-03-05 07:45:00,15.173379999999998
2019-03-05 08:00:00,13.481779999999999
2019-03-05 08:15:00,11.17944
2019-03-05 08:30:00,9.865407000000001
2019-03-05 08:45:00,7.979344
2019-03-05 09:00:00,6.103672
2019-03-05 09:15:00,4.312656
2019-03-05 09:30:00,2.7013439999999997
2019-03-05 09:45:00,1.381789
2019-03-05 10:00:00,0.578922
2019-03-05 10:15:00,0.06617
2019-03-05 10:30:00,0.0
2019-03-05 10:45:00,0.0
2019-03-05 11:00:00,0.0
2019-03-05 11:15:00,0.0
2019-03-05 11:30:00,0.0
2019-03-05 11:45:00,0.0
2019-03-05 12:00:00,0.0
2019-03-05 12:15:00,0.0
2019-03-05 12:30:00,0.0
2019-03-05 12:45:00,0.0
2019-03-05 13:00:00,0.0
2019-03-05 13:15:00,0.0
2019-03-05 13:30:00,0.0
2019-03-05 13:45:00,0.0
2019-03-05 14:00:00,0.0
2019-03-05 14:15:00,0.0
2019-03-05 14:30:00,0.0
2019-03-05 14:45:00,0.0
2019-03-05 15:00:00,0.0
2019-03-05 15:15:00,0.0
2019-03-05 15:30:00,0.0
2019-03-05 15:45:00,0.0
2019-03-05 16:00:00,0.0
2019-03-05 16:15:00,0.0
2019-03-05 16:30:00,0.0
2019-03-05 16:45:00,0.0
2019-03-05 17:00:00,0.0
2019-03-05 17:15:00,0.0
2019-03-05 17:30:00,0.0
2019-03-05 17:45:00,0.0
2019-03-05 18:00:00,0.0
2019-03-05 18:15:00,0.0
2019-03-05 18:30:00,0.0
2019-03-05 18:45:00,0.0
2019-03-05 19:00:00,0.0
2019-03-05 19:15:00,0.0
2019-03-05 19:30:00,0.0
2019-03-05 19:45:00,0.0
2019-03-05 20:00:00,0.0
2019-03-05 20:15:00,0.0
2019-03-05 20:30:00,0.0
2019-03-05 20:45:00,0.0
2019-03-05 21:00:00,0.0
2019-03-05 21:15:00,0.0
2019-03-05 21:30:00,0.0
2019-03-05 21:45:00,0.0
2019-03-05 22:00:00,0.0
2019-03-05 22:15:00,0.0
2019-03-05 22:30:00,0.0
2019-03-05 22:45:00,0.0
2019-03-05 23:00:00,0.27018400000000004
2019-03-05 23:15:00,1.0025309999999998
2019-03-05 23:30:00,2.50425
2019-03-05 23:45:00,4.412516
2019-03-06 00:00:00,6.5503599999999995
2019-03-06 00:15:00,8.844281
